"",Є,І,Ї,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Х,Ц,Ч,Ш,Щ,Ь,Ю,Я
Є,0.0,0.0,0.0003,0.0003,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0003,0.0003,0.0005,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0
І,0.0005,0.0005,0.0005,0.0008,0.001,0.0048,0.0008,0.0043,0.0,0.0,0.0028,0.0,0.0008,0.0015,0.005,0.002,0.0045,0.0003,0.0023,0.002,0.0071,0.0048,0.0,0.001,0.0008,0.0003,0.0013,0.0003,0.0,0.0,0.0005
Ї,0.0,0.0,0.0013,0.0,0.0003,0.0008,0.0,0.001,0.0,0.0,0.0,0.0,0.0013,0.0003,0.0003,0.0003,0.0008,0.0,0.0003,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
А,0.0013,0.0,0.0005,0.0015,0.0045,0.0081,0.0025,0.0028,0.0003,0.001,0.0035,0.0,0.004,0.0066,0.0146,0.0028,0.0078,0.0013,0.0053,0.0033,0.0081,0.0058,0.0013,0.0015,0.0008,0.0013,0.0005,0.0023,0.0,0.0005,0.001
Б,0.0003,0.002,0.0,0.0018,0.0003,0.0,0.0,0.0,0.0018,0.0,0.0,0.002,0.0,0.0003,0.0008,0.0,0.0,0.0028,0.0,0.0013,0.0,0.0005,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003
В,0.0,0.0066,0.0,0.0068,0.0005,0.0003,0.0018,0.001,0.003,0.0008,0.002,0.0053,0.0,0.001,0.0005,0.0,0.001,0.0071,0.0005,0.0003,0.0028,0.0015,0.0025,0.0,0.0003,0.001,0.0005,0.0003,0.0,0.0,0.0005
Г,0.0,0.0003,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0008,0.0,0.0,0.002,0.0,0.0,0.0086,0.0,0.0005,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Д,0.0,0.0043,0.0,0.0035,0.0,0.0013,0.0,0.0003,0.003,0.0003,0.0,0.0043,0.0,0.0003,0.0003,0.0,0.0028,0.0066,0.0005,0.001,0.0003,0.0003,0.0023,0.0,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0025
Е,0.0,0.0,0.0005,0.0008,0.0008,0.0038,0.0003,0.003,0.0,0.0008,0.004,0.0,0.001,0.0015,0.002,0.0025,0.0066,0.0005,0.0023,0.0043,0.0018,0.002,0.0,0.0,0.0003,0.0013,0.0003,0.0003,0.0,0.0003,0.0005
Ж,0.0,0.0,0.0,0.0008,0.0005,0.0,0.0,0.0,0.0023,0.0,0.0,0.0003,0.0,0.001,0.0003,0.0,0.0013,0.0,0.0003,0.0,0.0,0.0005,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
З,0.0,0.0015,0.0003,0.0061,0.0003,0.0015,0.0013,0.002,0.0005,0.0,0.0005,0.0008,0.0,0.0003,0.0003,0.0018,0.004,0.0013,0.0005,0.0013,0.0,0.0003,0.002,0.0,0.0003,0.0003,0.0,0.0003,0.0018,0.0,0.0008
И,0.0,0.0003,0.0018,0.001,0.0018,0.0038,0.0015,0.0025,0.0,0.001,0.0058,0.0,0.0018,0.0068,0.005,0.0025,0.0063,0.0003,0.0015,0.002,0.0058,0.0071,0.0,0.002,0.0013,0.0013,0.0018,0.0008,0.0,0.0,0.0025
Й,0.0,0.0,0.0,0.0005,0.0003,0.0,0.0,0.0013,0.0,0.0,0.0013,0.0,0.0,0.0015,0.0003,0.0,0.0013,0.0005,0.0013,0.0,0.0013,0.0,0.0,0.0003,0.0,0.0,0.001,0.0003,0.0,0.0,0.0003
К,0.0,0.0033,0.0003,0.005,0.001,0.001,0.0003,0.0005,0.0008,0.001,0.0005,0.0048,0.0,0.0,0.0,0.0,0.0018,0.0121,0.0008,0.0053,0.0,0.0005,0.005,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0005
Л,0.0,0.0076,0.0,0.0151,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0086,0.0,0.0005,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0033,0.0013,0.003
М,0.0,0.002,0.0,0.005,0.0005,0.0008,0.0,0.0005,0.0013,0.0,0.0008,0.003,0.0,0.0,0.0003,0.0,0.0018,0.0038,0.0005,0.0003,0.0005,0.0005,0.0025,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
Н,0.0,0.0055,0.0,0.0139,0.0003,0.0,0.0003,0.0005,0.0091,0.0,0.0,0.0083,0.0,0.0005,0.0,0.0,0.003,0.0086,0.0003,0.0,0.0005,0.0005,0.0061,0.0,0.0,0.0005,0.0,0.0,0.0028,0.0005,0.002
О,0.0003,0.0,0.0008,0.0005,0.005,0.0103,0.0053,0.0091,0.0,0.0018,0.0035,0.0,0.0013,0.004,0.0096,0.0071,0.0068,0.0,0.0043,0.0043,0.0066,0.0086,0.0005,0.0015,0.0008,0.0035,0.0003,0.0008,0.0,0.0033,0.0013
П,0.0,0.004,0.0,0.002,0.0,0.0,0.0,0.0003,0.0015,0.0,0.0,0.0043,0.0,0.0003,0.0008,0.0,0.0,0.0086,0.0,0.0055,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Р,0.0,0.0028,0.0,0.0058,0.0,0.0005,0.0003,0.0,0.003,0.0,0.0,0.0033,0.0003,0.0013,0.0,0.0,0.0013,0.0136,0.0003,0.0,0.0003,0.0008,0.0013,0.0,0.0,0.0003,0.0003,0.0,0.0,0.0,0.0008
С,0.0,0.001,0.0,0.0053,0.0,0.0005,0.0,0.0,0.002,0.0,0.0,0.0018,0.0,0.0013,0.0018,0.0003,0.0015,0.002,0.0015,0.0,0.0,0.005,0.0018,0.001,0.0,0.0,0.0,0.0,0.0038,0.0,0.0086
Т,0.0,0.0045,0.0,0.0108,0.0003,0.0,0.0,0.0,0.0018,0.0,0.0003,0.0131,0.0,0.0,0.0005,0.0003,0.0,0.0048,0.0003,0.003,0.0,0.0,0.002,0.0003,0.0,0.0,0.0,0.0,0.0053,0.0,0.001
У,0.0005,0.0003,0.0,0.0005,0.0008,0.0053,0.0003,0.0035,0.0,0.0005,0.0013,0.0,0.0005,0.0013,0.0066,0.0025,0.0033,0.0,0.002,0.001,0.0013,0.0038,0.0,0.001,0.0,0.0008,0.0005,0.0003,0.0,0.0008,0.0013
Х,0.0,0.0,0.0,0.0005,0.0005,0.0008,0.0,0.0003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0005,0.0008,0.0035,0.0005,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ц,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0003,0.0
Ч,0.0,0.0008,0.0,0.0023,0.0003,0.0003,0.0,0.0,0.0013,0.0,0.0003,0.0048,0.0,0.0013,0.0,0.0,0.0005,0.0013,0.0003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ш,0.0,0.0003,0.0,0.0003,0.0,0.0008,0.0,0.0,0.0018,0.0,0.0,0.0015,0.0,0.0008,0.001,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Щ,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ь,0.0003,0.0008,0.0003,0.0005,0.001,0.0,0.0005,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0055,0.0,0.0003,0.0013,0.0013,0.0005,0.0003,0.0018,0.001,0.0008,0.0,0.0,0.001,0.0,0.0003,0.0,0.0,0.0005
Ю,0.0,0.0005,0.0003,0.0005,0.0,0.0003,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0005,0.001,0.0,0.0003,0.0003,0.0008,0.0005,0.0003,0.0,0.0,0.001,0.0,0.0,0.0,0.0003,0.0003
Я,0.0003,0.0003,0.0003,0.001,0.0,0.003,0.0,0.0003,0.0,0.0003,0.0025,0.0,0.0003,0.0066,0.0,0.0008,0.0033,0.0003,0.001,0.0,0.0003,0.0033,0.0,0.0005,0.0003,0.0023,0.0003,0.0005,0.0,0.0005,0.001
